ID	GENE	GENE_SIZE	GC_CONTENT	
ENSG00000006125	AP2B1	148363	39.93	
ENSG00000006128	TAC1	8564	39.8	
ENSG00000006194	ZNF263	37601	47.09	
ENSG00000006210	CX3CL1	12590	53.7	
ENSG00000006282	SPATA20	12794	57.05	
ENSG00000006283	CACNA1G	66406	56.83	
ENSG00000006327	TNFRSF12A	3938	60.12	
ENSG00000006377	DLX6	5491	49.51	
ENSG00000006432	MAP3K9	87008	44.98	
ENSG00000006451	RALA	84641	39.69	
ENSG00000006453	BAIAP2L1	109417	46.77	
ENSG00000006459	KDM7A	92289	39.18	
ENSG00000006468	ETV1	100197	36.3	
ENSG00000006530	AGK	104055	39.59	
ENSG00000006534	ALDH3B1	20704	58.4	
ENSG00000006555	TTC22	21555	52.26	
ENSG00000006576	PHTF2	158711	37.65	
ENSG00000006606	CCL26	20363	48.09	
ENSG00000006607	FARP2	138598	45.6	
ENSG00000006611	USH1C	50521	51.78	
ENSG00000006625	GGCT	8223	40.55	
ENSG00000006634	DBF4	33325	36.72	
ENSG00000006638	TBXA2R	12334	55.77	
ENSG00000006652	IFRD1	58049	39.45	
ENSG00000006659	LGALS14	5138	45.3	
ENSG00000006695	COX10	139181	38.47	
ENSG00000006704	GTF2IRD1	148814	52.72	
ENSG00000006712	PAF1	5343	52.73	
ENSG00000006715	VPS41	209431	38.35	
ENSG00000006740	ARHGAP44	202104	42.68	
ENSG00000006744	ELAC2	25796	48.08	
ENSG00000006747	SCIN	89602	38.46	
ENSG00000006756	ARSD	25381	48.88	
ENSG00000006757	PNPLA4	29492	40.45	
ENSG00000006788	MYH13	75046	45.69	
ENSG00000006831	ADIPOR2	100104	39.4	
ENSG00000006837	CDKL3	84697	40.16	
ENSG00000007001	UPP2	259452	40.24	
ENSG00000007038	PRSS21	9124	55.65	
ENSG00000007047	MARK4	225995	53.57	
ENSG00000007062	PROM1	121302	43.17	
ENSG00000007080	CCDC124	10975	55.84	
ENSG00000007129	CEACAM21	37326	44.66	
ENSG00000007168	PAFAH1B1	92405	42.4	
ENSG00000007171	NOS2	43733	51.36	
ENSG00000007174	DNAH9	371317	42.63	
ENSG00000007202	KIAA0100	31014	46.75	
ENSG00000007216	SLC13A2	24488	52.55	
ENSG00000007237	GAS7	287942	47.97	
ENSG00000007255	TRAPPC6A	15309	56.86	
ENSG00000007264	MATK	24159	54.4	
ENSG00000007306	CEACAM7	33669	47.86	
ENSG00000007312	CD79B	3614	60.69	
ENSG00000007314	SCN4A	34364	56.1	
ENSG00000007341	ST7L	97307	39.05	
ENSG00000007350	TKTL1	34679	48.34	
ENSG00000007372	PAX6	33169	49.68	
ENSG00000007376	RPUSD1	3423	67.17	
ENSG00000007384	RHBDF1	18296	61.15	
ENSG00000007392	LUC7L	40494	47.33	
ENSG00000007402	CACNA2D2	141445	56.52	
ENSG00000007516	BAIAP3	15840	65.72	
ENSG00000007520	TSR3	2671	62.57	
ENSG00000007541	PIGQ	17141	64.36	
ENSG00000007545	CRAMP1	65583	53.11	
ENSG00000007866	TEAD3	23479	56.75	
ENSG00000007908	SELE	42064	39.37	
ENSG00000007923	DNAJC11	67756	46.6	
ENSG00000007933	FMO3	26942	36.5	
ENSG00000007944	MYLIP	19123	40.19	
ENSG00000007952	NOX1	31021	41.14	
ENSG00000007968	E2F2	24790	51.66	
ENSG00000008018	PSMB1	18224	39.81	
ENSG00000008056	SYN1	47955	47.76	
ENSG00000008083	JARID2	275744	43.92	
ENSG00000008086	CDKL5	228046	40.21	
ENSG00000008118	CAMK1G	30221	47.01	
ENSG00000008128	CDK11A	21594	51.99	
ENSG00000008130	NADK	29225	53.7	
ENSG00000008196	TFAP2B	28890	44.14	
ENSG00000008197	TFAP2D	59160	37.24	
ENSG00000008226	DLEC1	84820	48.5	
ENSG00000008256	CYTH3	110868	44.78	
ENSG00000008277	ADAM22	268746	37.29	
ENSG00000008282	SYPL1	22073	38.18	
ENSG00000008283	CYB561	14074	57.41	
ENSG00000008294	SPAG9	158691	40	
ENSG00000008300	CELSR3	26446	59.89	
ENSG00000008311	AASS	68633	36.48	
ENSG00000008323	PLEKHG6	18070	55.71	
ENSG00000008324	SS18L2	13274	47.77	
ENSG00000008382	MPND	16559	55.95	
ENSG00000008394	MGST1	262117	36.94	
ENSG00000008405	CRY1	102465	37.62	
ENSG00000008438	PGLYRP1	3912	57.73	
ENSG00000008441	NFIX	103188	55.28	
ENSG00000008513	ST3GAL1	117092	49.4	
ENSG00000008516	MMP25	14045	58.2	
ENSG00000008517	IL32	16895	53.36	
ENSG00000008710	PKD1	47188	63.1	
ENSG00000008735	MAPK8IP2	13296	63.07	
ENSG00000008838	MED24	42118	50.63	
ENSG00000008853	RHOBTB2	32782	53.51	
ENSG00000008869	HEATR5B	115959	38.59	
ENSG00000008952	SEC62	31738	36.6	
ENSG00000008988	RPS20	7286	41.97	
ENSG00000009307	CSDE1	41763	38.28	
ENSG00000009335	UBE3C	130459	42.12	
ENSG00000009413	REV3L	184687	36.9	
ENSG00000009694	TENM1	587914	37.17	
ENSG00000009709	PAX7	117860	52.35	
ENSG00000009724	MASP2	20710	50.21	
ENSG00000009765	IYD	37077	41.6	
ENSG00000009780	FAM76A	37143	43.35	
ENSG00000009790	TRAF3IP3	26288	45.61	
ENSG00000009830	POMT2	45928	47.08	
ENSG00000009844	VTA1	77527	35.53	
ENSG00000009950	MLXIPL	31349	56.25	
ENSG00000009954	BAZ1B	81880	43.19	
ENSG00000010017	RANBP9	90066	36.94	
ENSG00000010030	ETV7	33709	49.34	
ENSG00000010072	SPRTN	17919	41.57	
ENSG00000010165	METTL13	32359	43.61	
ENSG00000010219	DYRK4	53098	42.77	
ENSG00000010244	ZNF207	31777	38.48	
ENSG00000010256	UQCRC1	11974	53.04	
ENSG00000010270	STARD3NL	52449	38.4	
ENSG00000010278	CD9	38556	51.04	
ENSG00000010282	HHATL	10164	56.48	
ENSG00000010292	NCAPD2	38599	46.34	
ENSG00000010295	IFFO1	17708	54.32	
ENSG00000010310	GIPR	15480	54.94	
ENSG00000010318	PHF7	12984	45.18	
ENSG00000010319	SEMA3G	12032	59.63	
ENSG00000010322	NISCH	37953	53.28	
ENSG00000010327	STAB1	29157	60.65	
ENSG00000010361	FUZ	10507	52.29	
ENSG00000010379	SLC6A13	42252	47.19	
ENSG00000010404	IDS	44106	45.34	
ENSG00000010438	PRSS3	48765	42.84	
ENSG00000010539	ZNF200	13896	43.67	
ENSG00000010610	CD4	33950	48.55	
ENSG00000010626	LRRC23	40674	47.35	
ENSG00000010671	BTK	41349	43.18	
ENSG00000010704	HFE	11062	44.85	
ENSG00000010803	SCMH1	214954	39.5	
ENSG00000010810	FYN	213120	42.42	
ENSG00000010818	HIVEP2	193734	38.32	
ENSG00000010932	FMO1	37507	40.91	
ENSG00000011007	TCEB3	18904	45.7	
ENSG00000011009	LYPLA2	4569	62.39	
ENSG00000011021	CLCN6	37048	47.79	
ENSG00000011028	MRC2	66196	52.24	
ENSG00000011052	NME1-NME2	18154	48.86	
ENSG00000011083	SLC6A7	32831	54.69	
ENSG00000011105	TSPAN9	209209	52.13	
ENSG00000011114	BTBD7	95542	40.08	
ENSG00000011132	APBA3	10880	56.64	
ENSG00000011143	MKS1	14168	47.46	
ENSG00000011198	ABHD5	44258	40.26	
ENSG00000011201	ANOS1	203312	39.59	
ENSG00000011243	AKAP8L	39093	48.86	
ENSG00000011258	MBTD1	82738	39.5	
ENSG00000011260	UTP18	37408	40.38	
ENSG00000011275	RNF216	161692	45.52	
ENSG00000011295	TTC19	45635	41.07	
ENSG00000011304	PTBP1	15252	61.17	
ENSG00000011332	DPF1	18708	57.15	
ENSG00000011347	SYT7	65835	57.15	
ENSG00000011376	LARS2	160915	42.15	
ENSG00000011405	PIK3C2A	130253	39.84	
ENSG00000011422	PLAUR	24452	49.94	
ENSG00000011426	ANLN	63985	37.88	
ENSG00000011451	WIZ	29971	58.16	
ENSG00000011454	RABGAP1	164033	38.49	
ENSG00000011465	DCN	42639	34.92	
ENSG00000011478	QPCTL	11506	52.56	
ENSG00000011485	PPP5C	45987	50.75	
ENSG00000011523	CEP68	30638	47.81	
ENSG00000011566	MAP4K3	188046	36.9	
ENSG00000011590	ZBTB32	12511	52.49	
ENSG00000011600	TYROBP	3894	51.45	
ENSG00000011638	TMEM159	22239	43.7	
ENSG00000011677	GABRA3	285124	37.36	
ENSG00000012048	BRCA1	125950	44.09	
ENSG00000012061	ERCC1	71495	52.1	
ENSG00000012124	CD22	28094	50.25	
ENSG00000012171	SEMA3B	9988	60.71	
ENSG00000012174	MBTPS2	45788	38.49	
ENSG00000012211	PRICKLE3	11264	56.05	
ENSG00000012223	LTF	49589	46.95	
ENSG00000012232	EXTL3	155130	44.36	
ENSG00000012504	NR1H4	90705	39.74	
ENSG00000012660	ELOVL5	81781	41.88	
ENSG00000012779	ALOX5	71943	47.73	
ENSG00000012817	KDM5D	41074	38.66	
ENSG00000012822	CALCOCO1	19228	49.2	
ENSG00000012963	UBR7	22159	43.29	
ENSG00000012983	MAP4K5	142625	37.27	
ENSG00000013016	EHD3	35110	50.13	
ENSG00000013275	PSMC4	10436	50.25	
ENSG00000013288	MAN2B2	48187	54.58	
ENSG00000013293	SLC7A14	126490	42.15	
ENSG00000013297	CLDN11	441515	41.54	
ENSG00000013306	SLC25A39	5245	61.11	
ENSG00000013364	MVP	27645	52.54	
ENSG00000013374	NUB1	36750	44.96	
ENSG00000013375	PGM3	32786	38.66	
ENSG00000013392	RWDD2A	5553	44.76	
ENSG00000013441	CLK1	11735	41.85	
ENSG00000013503	POLR3B	152540	39.75	
ENSG00000013523	ANGEL1	40068	44.52	
ENSG00000013561	RNF14	31963	42.04	
ENSG00000013563	DNASE1L1	10874	54.47	
ENSG00000013573	DDX11	30946	52.28	
ENSG00000013583	HEBP1	25409	43.52	
ENSG00000013588	GPRC5A	27155	46.77	
ENSG00000013619	MAMLD1	152756	44.08	
ENSG00000013725	CD6	48697	49.93	
ENSG00000013810	TACC3	23686	56.07	
ENSG00000014123	UFL1	33681	33.38	
ENSG00000014138	POLA2	43827	47.9	
ENSG00000014164	ZC3H3	103798	58.38	
ENSG00000014216	CAPN1	31440	51.18	
ENSG00000014257	ACPP	50931	40.4	
ENSG00000014641	MDH1	18588	38.05	
ENSG00000014824	SLC30A9	99985	36.98	
ENSG00000014914	MTMR11	8247	50.01	
ENSG00000014919	COX15	20256	42.42	
ENSG00000015133	CCDC88C	146521	51.25	
ENSG00000015153	YAF2	81245	39.02	
ENSG00000015171	ZMYND11	120172	37.8	
ENSG00000015285	WAS	14831	50.82	
ENSG00000015413	DPEP1	25148	59.08	
ENSG00000015475	BID	40632	52.51	
ENSG00000015479	MATR3	37711	38.84	
ENSG00000015520	NPC1L1	28780	51.5	
ENSG00000015532	XYLT2	17046	56.54	
ENSG00000015568	RGPD5	64937	39.34	
ENSG00000015592	STMN4	23097	48.03	
ENSG00000015676	NUDCD3	111759	44.52	
ENSG00000016082	ISL1	11347	44.32	
ENSG00000016391	CHDH	34055	49.32	
ENSG00000016402	IL20RA	45209	41.2	
ENSG00000016490	CLCA1	31921	40.09	
ENSG00000016602	CLCA4	33676	37.99	
ENSG00000016864	GLT8D1	11598	44.63	
ENSG00000017260	ATP2C1	166117	37.56	
ENSG00000017427	IGF1	84778	39.66	
ENSG00000017483	SLC38A5	11719	54.89	
ENSG00000017797	RALBP1	63107	41.38	
ENSG00000018189	RUFY3	103111	39.91	
ENSG00000018236	CNTN1	379976	35.21	
ENSG00000018280	SLC11A1	14865	55.34	
ENSG00000018408	WWTR1	219479	41.07	
ENSG00000018510	AGPS	166655	36.51	
ENSG00000018607	ZNF806	9427	40.79	
ENSG00000018610	CXorf56	27259	44.29	
ENSG00000018625	ATP1A2	27832	50.38	
ENSG00000018699	TTC27	193019	39.46	
ENSG00000018869	ZNF582	17699	40.84	
ENSG00000019102	VSIG2	4766	53.7	
ENSG00000019144	PHLDB1	51598	54.3	
ENSG00000019169	MARCO	52494	44.33	
ENSG00000019186	CYP24A1	20524	43.36	
ENSG00000019485	PRDM11	139318	47.84	
ENSG00000019505	SYT13	46018	46.27	
ENSG00000019549	SNAI2	4050	40.95	
ENSG00000019582	CD74	11292	53.3	
ENSG00000019991	HGF	71432	34.42	
ENSG00000019995	ZRANB1	46066	39.68	
ENSG00000020129	NCDN	9801	57.71	
ENSG00000020181	ADGRA2	60705	55.25	
ENSG00000020219	CCT8L1P	1673	57.11	
ENSG00000020256	ZFP64	152645	44.05	
ENSG00000020426	MNAT1	235211	36.62	
ENSG00000020577	SAMD4A	226218	43.1	
ENSG00000020633	RUNX3	65610	54.8	
ENSG00000020922	MRE11	78330	37.31	
ENSG00000021300	PLEKHB1	16641	52.94	
ENSG00000021355	SERPINB1	9674	43.16	
ENSG00000021461	CYP3A43	38089	40.68	
ENSG00000021488	SLC7A9	39257	46.62	
ENSG00000021574	SPAST	94026	39.98	
ENSG00000021645	NRXN3	1697917	39.46	
ENSG00000021762	OSBPL5	79623	57	
ENSG00000021776	AQR	118057	37.54	
ENSG00000021826	CPS1	201425	36.31	
ENSG00000021852	C8B	36930	42.82	
ENSG00000022267	FHL1	64657	42.07	
ENSG00000022277	RTFDC1	50864	43.71	
ENSG00000022355	GABRA1	52918	34.99	
ENSG00000022556	NLRP2	48012	49.09	
ENSG00000022567	SLC45A4	101139	52.64	
ENSG00000022840	RNF10	44114	45.25	
ENSG00000022976	ZNF839	25325	49.04	
ENSG00000023041	ZDHHC6	22489	38.61	
ENSG00000023171	GRAMD1B	269346	45.8	
ENSG00000023191	RNH1	12788	60.36	
ENSG00000023228	NDUFS1	44786	40.81	
ENSG00000023287	RB1CC1	123387	37.73	
ENSG00000023318	ERP44	119861	37.86	
ENSG00000023330	ALAS1	16241	45.47	
ENSG00000023445	BIRC3	21953	37.6	
ENSG00000023516	AKAP11	51114	36.45	
ENSG00000023572	GLRX2	9646	41.92	
ENSG00000023608	SNAPC1	34071	39.61	
ENSG00000023697	DERA	126110	39.16	
ENSG00000023734	STRAP	21087	36.48	
ENSG00000023839	ABCC2	69460	45.12	
ENSG00000023892	DEF6	23919	48.45	
ENSG00000023902	PLEKHO1	15537	51.63	
ENSG00000023909	GCLM	24251	36.37	
ENSG00000024048	UBR2	129442	39.1	
ENSG00000024422	EHD2	29791	52.96	
ENSG00000024526	DEPDC1	23069	34.94	
ENSG00000024862	CCDC28A	19810	39.18	
ENSG00000025039	RRAGD	47634	42.25	
ENSG00000025156	HSF2	33573	35.55	
ENSG00000025293	PHF20	178407	44.08	
ENSG00000025423	HSD17B6	35629	44.92	
ENSG00000025434	NR1H3	20732	50.87	
ENSG00000025708	TYMP	4304	64.53	
ENSG00000025770	NCAPH2	15256	55.08	
ENSG00000025772	TOMM34	18356	45.11	
ENSG00000025796	SEC63	90433	39.82	
ENSG00000025800	KPNA6	68530	44.21	
ENSG00000026025	VIM	9334	46.25	
ENSG00000026036	RTEL1-TNFRSF6B	39384	59.83	
ENSG00000026103	FAS	25203	37.84	
ENSG00000026297	RNASET2	27687	48.7	
ENSG00000026508	CD44	93532	41.56	
ENSG00000026559	KCNG1	19473	52.21	
ENSG00000026652	AGPAT4	144082	45.36	
ENSG00000026751	SLAMF7	15764	43.99	
ENSG00000026950	BTN3A1	12979	44.45	
ENSG00000027001	MIPEP	159230	39.76	
ENSG00000027075	PRKCH	363417	42.48	
ENSG00000027644	INSRR	18955	55.51	
ENSG00000027697	IFNGR1	21965	38.81	
ENSG00000027847	B4GALT7	10247	57.92	
ENSG00000027869	SH2D2A	10619	55.56	
ENSG00000028116	VRK2	252269	35.24	
ENSG00000028137	TNFRSF1B	42285	55.42	
ENSG00000028203	VEZT	85044	38.6	
ENSG00000028277	POU2F2	110475	51.31	
ENSG00000028310	BRD9	42533	55.14	
ENSG00000028528	SNX1	51967	43.68	
ENSG00000028839	TBPL1	38262	37.6	
ENSG00000029153	ARNTL2	92435	39.26	
ENSG00000029363	BCLAF1	32988	35.61	
ENSG00000029364	SLC39A9	64373	40.2	
ENSG00000029534	ANK1	243542	49.32	
ENSG00000029559	IBSP	12854	36.11	
ENSG00000029639	TFB1M	56984	38.35	
ENSG00000029725	RABEP1	103547	41.37	
ENSG00000029993	HMGB3	10266	51.16	
ENSG00000030066	NUP160	70468	41.86	
ENSG00000030110	BAK1	7746	57.18	
ENSG00000030304	MUSK	132849	36.45	
ENSG00000030419	IKZF2	152736	34.84	
ENSG00000030582	GRN	8016	57.64	
ENSG00000031003	FAM13B	114001	40.05	
ENSG00000031081	ARHGAP31	126341	43.44	
ENSG00000031691	CENPQ	29729	37.99	
ENSG00000031698	SARS	24251	43.12	
ENSG00000031823	RANBP3	62003	52.74	
ENSG00000032219	ARID4A	75502	37.48	
ENSG00000032389	TSSC1	188957	48.27	
ENSG00000032444	PNPLA6	27760	55.88	
ENSG00000032742	IFT88	124368	38.74	
ENSG00000033011	ALG1	53419	49.28	
ENSG00000033030	ZCCHC8	29473	42.68	
ENSG00000033050	ABCF2	19393	49.19	
ENSG00000033100	CHPF2	6338	56.82	
ENSG00000033122	LRRC7	583547	35.35	
ENSG00000033170	FUT8	333529	37.41	
ENSG00000033178	UBA6	88527	35.52	
ENSG00000033327	GAB2	203051	41.71	
ENSG00000033627	ATP6V0A1	63767	45.47	
ENSG00000033800	PIAS1	144424	38.09	
ENSG00000033867	SLC4A7	111699	36.85	
ENSG00000034053	APBA2	233832	48.63	
ENSG00000034152	MAP2K3	30568	56.97	
ENSG00000034239	EFCAB1	24522	40.09	
ENSG00000034510	TMSB10	1050	63.37	
ENSG00000034533	ASTE1	13774	39.7	
ENSG00000034677	RNF19A	79158	38.61	
ENSG00000034693	PEX3	39203	35.11	
ENSG00000034713	GABARAPL2	11530	47.18	
ENSG00000034971	MYOC	17266	45.71	
ENSG00000035115	SH3YL1	48668	40.78	
ENSG00000035141	FAM136A	6115	48.46	
ENSG00000035403	VCL	126170	41.45	
ENSG00000035499	DEPDC1B	103278	38.63	
ENSG00000035664	DAPK2	164997	46.89	
ENSG00000035681	NSMAF	76340	38.41	
ENSG00000035687	ADSS	43640	38.3	
ENSG00000035720	STAP1	48609	37.8	
ENSG00000035862	TIMP2	72410	52.6	
ENSG00000035928	RFC1	78919	39.26	
ENSG00000036054	TBC1D23	64251	36.46	
ENSG00000036257	CUL3	115247	37.23	
ENSG00000036448	MYOM2	120512	46.64	
ENSG00000036473	OTC	68905	39.3	
ENSG00000036530	CYP46A1	42997	47.28	
ENSG00000036549	ZZZ3	121003	37.17	
ENSG00000036565	SLC18A1	38351	44	
ENSG00000036672	USP2	26511	54.64	
ENSG00000036828	CASR	102163	40.88	
ENSG00000037042	TUBG2	7701	51.9	
ENSG00000037241	RPL26L1	11042	46.12	
ENSG00000037280	FLT4	48118	60.24	
ENSG00000037474	NSUN2	34052	43.29	
ENSG00000037637	FBXO42	105615	43.85	
ENSG00000037749	MFAP3	181572	43.54	
ENSG00000037757	MRI1	9750	52.16	
ENSG00000037897	METTL1	4322	54.22	
ENSG00000037965	HOXC8	3256	52.78	
ENSG00000038002	AGA	11733	39.89	
ENSG00000038210	PI4K2B	45117	41.82	
ENSG00000038219	BOD1L1	58985	38.88	
ENSG00000038274	MAT2B	16222	38.25	
ENSG00000038295	TLL1	230637	35.72	
ENSG00000038358	EDC4	11480	57.32	
ENSG00000038382	TRIO	388426	43.35	
ENSG00000038427	VCAN	110838	37.22	
ENSG00000038532	CLEC16A	237701	48.06	
ENSG00000038945	MSR1	459612	35.52	
ENSG00000039068	CDH1	98323	46.89	
ENSG00000039123	SKIV2L2	117821	36.85	
ENSG00000039139	DNAH5	254212	38.97	
ENSG00000039319	ZFYVE16	71337	37.65	
ENSG00000039523	FAM65A	28370	57.05	
ENSG00000039537	C6	119204	36.68	
ENSG00000039560	RAI14	176390	42.13	
ENSG00000039600	SOX30	45801	40.71	
ENSG00000039650	PNKP	18469	59.53	
ENSG00000039987	BEST2	6756	57.95	
ENSG00000040199	PHLPP2	86866	41.82	
ENSG00000040275	SPDL1	21144	37.28	
ENSG00000040341	STAU2	327339	38.25	
ENSG00000040487	PQLC2	16974	54.93	
ENSG00000040531	CTNS	25074	54.27	
ENSG00000040608	RTN4R	41831	60.45	
ENSG00000040633	PHF23	4694	59.51	
ENSG00000040731	CDH10	157878	34	
ENSG00000040933	INPP4A	149536	47.33	
ENSG00000041353	RAB27B	177656	37.74	
ENSG00000041357	PSMA4	12014	42.32	
ENSG00000041515	MYO16	611855	38.48	
ENSG00000041802	LSG1	31689	41.69	
ENSG00000041880	PARP3	6522	59.21	
ENSG00000041982	TNC	98679	41.85	
ENSG00000041988	THAP3	10720	56.77	
ENSG00000042062	FAM65C	105420	51.6	
ENSG00000042088	TDP1	89829	42.14	
ENSG00000042286	AIFM2	34711	50.25	
ENSG00000042304	C2orf83	23230	43.18	
ENSG00000042317	SPATA7	85426	37.9	
ENSG00000042429	MED17	30468	39.81	
ENSG00000042445	RETSAT	12532	51.7	
ENSG00000042493	CAPG	23684	51.32	
ENSG00000042753	AP2S1	12856	52.87	
ENSG00000042781	USH2A	800502	36.36	
ENSG00000042813	ZPBP	270908	36.38	
ENSG00000042832	TG	267945	45.9	
ENSG00000042980	ADAM28	64978	35.71	
ENSG00000043039	BARX2	76339	42.73	
ENSG00000043093	DCUN1D1	47879	39.56	
ENSG00000043143	JADE2	58918	53.79	
ENSG00000043355	ZIC2	5001	56.6	
ENSG00000043462	LCP2	51990	44.64	
ENSG00000043514	TRIT1	42489	42.46	
ENSG00000043591	ADRB1	2852	57.45	
ENSG00000044012	GUCA2B	2403	59.94	
ENSG00000044090	CUL7	16328	54.7	
ENSG00000044115	CTNNA1	324067	44.15	
ENSG00000044446	PHKA2	92298	45.75	
ENSG00000044459	CNTLN	368941	36.43	
ENSG00000044524	EPHA3	374610	34.6	
ENSG00000044574	HSPA5	6477	43.98	
ENSG00000046604	DSG2	50965	39.27	
ENSG00000046647	GEMIN8	21614	40.79	
ENSG00000046651	OFD1	34608	39.8	
ENSG00000046653	GPM6B	167607	41.5	
